label,binidx,vv_pol,vv_pol_nm
AlSb,31,0.06996398362357942,0.06996398362357942
AlSb,32,0.05258223386156321,0.05258223386156321
AlSb,33,0.15181050183433387,0.15181050183433387
AlSb,34,0.01135097317251059,0.01135097317251059
AlSb,38,0.01419773045554013,0.01419773045554013
AlSb,40,0.002335927921371375,0.002335927921371375
AlSb,41,0.00165326460466521,0.00165326460466521
AlSb,44,0.002695512604135749,0.002695512604135749
AlSb,47,0.01026765990486606,0.01026765990486606
AlSb,48,0.0030322510129539284,0.0030322510129539284
AlSb,49,0.04251667149656965,0.04251667149656965
Au,1,0.4413010066336924,5.45023864844573e-07
Au,2,1.105870441354865,0.002282470263005253
Au,3,2.663773228047684,0.19577271983986852
Au,4,2.6305535007078937,1.3498148214265444
Au,5,1.824530964618051,1.7291260496685128
Au,6,1.5246135156396796,1.523359041741415
Au,7,1.5614427710154382,1.5614416955562467
Au,8,1.1535227061323743,1.153522706123091
Au,9,1.1611747679480593,1.161174767948059
Au,10,0.9561459838746146,0.9561459838746146
Au,11,0.8675490044309675,0.8675490044309675
Au,12,0.9350716169606096,0.9350716169606096
Au,13,0.6670327762981936,0.6670327762981936
Au,14,0.6501787317464007,0.6501787317464007
Au,15,0.5885384681206118,0.5885384681206118
Au,16,0.4830268753955477,0.4830268753955477
Au,17,0.632323284230566,0.632323284230566
Au,18,0.6058070502637105,0.6058070502637105
Au,19,1.832029607892917,1.832029607892917
Au,20,0.05844341838984618,0.05844341838984618
Au,21,0.05274443509525842,0.05274443509525842
Au,23,0.052023392575667626,0.052023392575667626
Au,24,0.004279778001693451,0.004279778001693451
Au,25,0.04716107888815861,0.04716107888815861
Au,27,0.04005238496773595,0.04005238496773595
Au,28,0.006141843662282771,0.006141843662282771
Au,29,1.3611188698253374e-07,1.3611188698253374e-07
Au,30,0.031162830696967413,0.031162830696967413
Au,31,0.006830388618626828,0.006830388618626828
Au,32,2.4026686757183744e-05,2.4026686757183744e-05
Au,33,0.02642556555003671,0.02642556555003671
Au,34,2.849809085331808e-41,2.849809085331808e-41
Au,35,0.010732689114745345,0.010732689114745345
Au,36,0.022293259320806034,0.022293259320806034
Au,38,0.00817093466192365,0.00817093466192365
Au,39,0.01889364036239274,0.01889364036239274
Au,41,0.008764722515184228,0.008764722515184228
Au,42,0.016246423823752285,0.016246423823752285
Au,44,0.009276977037740363,0.009276977037740363
Au,45,0.014279570204773533,0.014279570204773533
Au,46,0.009706250671519968,0.009706250671519968
Au,47,0.012872905477863735,0.012872905477863735
Au,48,0.024591269937331448,0.024591269937331448
Au,49,0.043098482388258585,0.043098482388258585
BAs,1,0.18569265354472708,5.828801867508772e-07
BAs,2,0.39573859088057295,0.0008100853209785626
BAs,3,1.0294551744806464,0.08788904561302918
BAs,4,1.642466771206954,0.8797305043701187
BAs,5,2.330103704581731,2.243838720790407
BAs,6,5.297794415638755,5.2948261018611635
BAs,7,8.539039180329716,8.539034817260948
BAs,8,9.008015691491707,9.008015691171298
BAs,9,4.4403124604226285,4.440312460422628
BAs,10,1.2905502757297687,1.2905502757297687
BAs,11,0.40018145001350836,0.40018145001350836
BAs,12,0.28844771120676566,0.28844771120676566
BAs,13,0.21106017159521867,0.21106017159521867
BAs,14,0.13207693660183883,0.13207693660183883
BAs,15,0.1370632222874692,0.1370632222874692
BAs,16,0.12139110744925716,0.12139110744925716
BAs,17,0.10392308607734807,0.10392308607734807
BAs,18,0.06584355072866482,0.06584355072866482
BAs,19,0.10125254046576217,0.10125254046576217
BAs,20,0.05390030947454727,0.05390030947454727
BAs,21,0.04491797314325664,0.04491797314325664
BAs,22,0.058000654665172575,0.058000654665172575
BAs,23,0.07228115342551994,0.07228115342551994
BAs,24,0.04141312772003395,0.04141312772003395
BAs,25,0.04418791654228647,0.04418791654228647
BAs,26,0.03865355766793892,0.03865355766793892
BAs,27,0.04573063095240195,0.04573063095240195
BAs,28,0.035918999043671775,0.035918999043671775
BAs,29,0.05378260301520418,0.05378260301520418
BAs,30,0.037528416868348694,0.037528416868348694
BAs,31,0.04759356858484866,0.04759356858484866
BAs,32,0.06534571314420021,0.06534571314420021
BAs,33,0.0659649228355049,0.0659649228355049
BAs,34,0.19670723097694026,0.19670723097694026
BAs,36,0.005746111483351662,0.005746111483351662
BAs,37,0.0030981819063051826,0.0030981819063051826
BAs,38,0.0019533463357323906,0.0019533463357323906
BAs,42,0.00014994125872059037,0.00014994125872059037
BAs,43,0.002392640620764478,0.002392640620764478
BAs,44,0.0008938218965229824,0.0008938218965229824
BAs,45,1.4217858098148494e-05,1.4217858098148494e-05
BAs,46,2.873595663928267e-05,2.873595663928267e-05
BAs,47,0.0017262413666823317,0.0017262413666823317
BAs,48,0.0035169218819051766,0.0035169218819051766
BAs,49,0.029081106850391822,0.029081106850391822
BN,1,0.048105426975319825,5.688849386974399e-08
BN,2,0.13547869423069814,0.00031437243429839634
BN,3,0.25107386083517447,0.02702495761214776
BN,4,0.37121784774927685,0.19579322250574557
BN,5,0.5723618912429609,0.550108827771215
BN,6,1.214812387003025,1.214160696031478
BN,7,2.731345301107977,2.731343923444006
BN,8,2.552169058902482,2.5521690588389707
BN,9,2.466793259928892,2.4667932599288918
BN,10,1.9438062491519088,1.9438062491519088
BN,11,1.8837311057732595,1.8837311057732595
BN,12,1.2276866319897006,1.2276866319897006
BN,13,0.4006181353079623,0.4006181353079623
BN,14,0.008324271446752844,0.008324271446752844
BN,15,0.016511396408493917,0.016511396408493917
BN,16,0.013794528946353048,0.013794528946353048
BN,17,0.012424614211929237,0.012424614211929237
BN,18,0.029138622090595073,0.029138622090595073
BN,19,0.013440944044640564,0.013440944044640564
BN,20,0.0072382006787816726,0.0072382006787816726
BN,21,1.8941130870270148e-07,1.8941130870270148e-07
BN,22,0.007783701118022477,0.007783701118022477
BN,23,0.004686530463531517,0.004686530463531517
BN,24,0.0027181949066178556,0.0027181949066178556
BN,25,0.004303811288856095,0.004303811288856095
BN,26,0.0100713879676494,0.0100713879676494
BN,27,0.005985982619708857,0.005985982619708857
BN,28,0.0022930542653343566,0.0022930542653343566
BN,29,0.0011838652411460223,0.0011838652411460223
BN,30,0.0030489522525217715,0.0030489522525217715
BN,31,0.002421701001152167,0.002421701001152167
BN,32,0.000973254177550233,0.000973254177550233
BN,33,0.0002972705757969376,0.0002972705757969376
BN,34,0.00029712200656600624,0.00029712200656600624
BN,35,0.002031161458330299,0.002031161458330299
BN,36,0.0046227624918009635,0.0046227624918009635
BN,37,0.003629249343620488,0.003629249343620488
BN,38,0.0017356334501728622,0.0017356334501728622
BN,39,0.0004090108124557249,0.0004090108124557249
BN,40,5.7202563860288056e-05,5.7202563860288056e-05
BN,41,0.0001667214773451782,0.0001667214773451782
BN,42,0.0009692210080937357,0.0009692210080937357
BN,43,0.0017167636634662256,0.0017167636634662256
BN,44,0.0008713863111220319,0.0008713863111220319
BN,45,1.156421971872143e-06,1.156421971872143e-06
BN,46,0.0005738267149049405,0.0005738267149049405
BN,47,0.004120338895504093,0.004120338895504093
BN,48,0.0008130966345514906,0.0008130966345514906
BN,49,0.02478596511815679,0.02478596511815679
BP,1,0.16163201756889412,5.498087180458944e-07
BP,2,0.45876452230369735,0.0008400382359730194
BP,3,0.9038197379133264,0.09803025510375443
BP,4,1.7453678871027924,0.8978945003580666
BP,5,2.5319058339819565,2.4500494776254254
BP,6,5.292555083578471,5.289487341015887
BP,7,8.65213475687418,8.652130543832612
BP,8,9.244890638357782,9.244890638097015
BP,9,2.5616880421352106,2.56168804213521
BP,10,0.1318667686302551,0.1318667686302551
BP,11,0.12270898980582196,0.12270898980582196
BP,12,0.02376726001531416,0.02376726001531416
BP,13,0.06993705159791277,0.06993705159791277
BP,14,0.05691768086645644,0.05691768086645644
BP,15,0.053113372739602795,0.053113372739602795
BP,16,0.0354144092580609,0.0354144092580609
BP,17,0.018888035074514246,0.018888035074514246
BP,18,0.02445674896068816,0.02445674896068816
BP,19,0.020212822637945094,0.020212822637945094
BP,20,0.02218673488233908,0.02218673488233908
BP,21,0.025432337106825288,0.025432337106825288
BP,22,0.00840333516758881,0.00840333516758881
BP,23,0.02480213665001064,0.02480213665001064
BP,24,0.013311704222840452,0.013311704222840452
BP,25,0.0069299244058007485,0.0069299244058007485
BP,26,0.010300687870682553,0.010300687870682553
BP,27,0.005538710277231281,0.005538710277231281
BP,28,0.023359897686995028,0.023359897686995028
BP,29,0.007400565872058049,0.007400565872058049
BP,30,0.017778317245268918,0.017778317245268918
BP,31,0.007739729889474429,0.007739729889474429
BP,32,0.011988574645877567,0.011988574645877567
BP,33,0.006399082927841673,0.006399082927841673
BP,34,0.019735125075372915,0.019735125075372915
BP,35,0.003964605146673383,0.003964605146673383
BP,36,0.01900607449798651,0.01900607449798651
BP,37,0.021391201549774207,0.021391201549774207
BP,38,0.00469186732242251,0.00469186732242251
BP,39,0.022989350975871493,0.022989350975871493
BP,40,0.02301204439295241,0.02301204439295241
BP,41,0.05187060922027147,0.05187060922027147
BP,42,0.004492105771820684,0.004492105771820684
BP,43,0.002392494718754787,0.002392494718754787
BP,44,0.0001276238764211084,0.0001276238764211084
BP,45,0.002074293630495436,0.002074293630495436
BP,46,3.5069044608496136e-05,3.5069044608496136e-05
BP,47,0.002371315806446321,0.002371315806446321
BP,48,0.00041180651540191865,0.00041180651540191865
BP,49,0.019553523914018423,0.019553523914018423
Ba,1,33.77393617421376,3.4820569952365816e-05
Ba,2,11.943556609351369,0.010109737410358982
Ba,3,6.273686825776073,0.5104642052029517
Ba,4,5.639002557684394,3.352641875222417
Ba,5,3.415066582637718,3.348006844557508
Ba,6,2.185999547214604,2.1849114362756383
Ba,7,2.067112819358632,2.0671104485352805
Ba,8,1.868094103860196,1.8680941036751464
Ba,9,1.602105441677939,1.602105441677939
Ba,10,1.4130227340642558,1.4130227340642558
Ba,11,1.3176793549541872,1.3176793549541872
Ba,12,4.323978622205267,4.323978622205267
Ba,13,5.694298616525716,5.694298616525716
Ba,14,1.2464188332219153,1.2464188332219153
Ba,15,0.01860959251545834,0.01860959251545834
Ba,16,0.19883165142128373,0.19883165142128373
Ba,17,0.03302028875194636,0.03302028875194636
Ba,18,0.15958128752646222,0.15958128752646222
Ba,19,0.12397698723067392,0.12397698723067392
Ba,20,0.031175188916253815,0.031175188916253815
Ba,21,0.10297082581672386,0.10297082581672386
Ba,22,0.033879693352674066,0.033879693352674066
Ba,24,0.1355992343585554,0.1355992343585554
Ba,25,0.07218273590311261,0.07218273590311261
Ba,26,0.038488591055294716,0.038488591055294716
Ba,27,0.06226070090939642,0.06226070090939642
Ba,28,0.040203263790364915,0.040203263790364915
Ba,29,0.09667428282500176,0.09667428282500176
Ba,30,0.09288366702960826,0.09288366702960826
Ba,31,0.18016315015118026,0.18016315015118026
Ba,33,0.010736445284675114,0.010736445284675114
Ba,44,0.0013311203129190167,0.0013311203129190167
Ba,45,0.008950120137256084,0.008950120137256084
Ba,48,0.0010975794218324008,0.0010975794218324008
Ba,49,0.032124085628032116,0.032124085628032116
C,1,0.06623684507867626,2.4955239091785273e-07
C,2,0.13181470976817683,0.0004538701616161719
C,3,0.1142753905613921,0.008053570857772148
C,4,0.5865695895688673,0.3000307237207196
C,5,0.5072301802148909,0.47616018611509725
C,6,0.9428145675947448,0.942488075652294
C,7,1.6071552226927768,1.6071544926535872
C,8,2.680597099489505,2.6805970993988923
C,9,4.7216853628935915,4.7216853628935915
C,10,3.276701863800778,3.276701863800778
