label,scale,method,ene,delta,reldelta,group
BN,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-7.11562896577096,-0.5156289657709605,-0.07812560087438795,
BN,1.0,PBE+MBD(scs),-7.162900651329208,-0.5629006513292083,-0.08528797747412248,
BN,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-7.109370504501189,-0.5093705045011889,-0.0771773491668468,
BN,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-7.125586146165486,-0.5255861461654865,-0.07963426457052826,
BN,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-7.096961298632949,-0.49696129863294924,-0.07529716645953777,
BN,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-7.099613286935691,-0.4996132869356913,-0.07569898286904414,
BN,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-7.105665814309837,-0.5056658143098369,-0.07661603247118742,
BN,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-7.115116570261722,-0.5151165702617222,-0.07804796519117004,
BN,1.0,PBE,-6.9399231650000335,-0.33992316500003383,-0.051503509848489976,
BP,1.0,"PBE+MBD(rpa,scs)",-5.549764858340038,-0.5097648583400378,-0.10114382109921385,
BP,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-5.5189227486210815,-0.4789227486210814,-0.0950243548851352,
BP,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-5.498034747619839,-0.45803474761983853,-0.09087991024203146,
BP,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-5.481979297978844,-0.44197929797884417,-0.08769430515453257,
BP,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-5.488250330965196,-0.4482503309651964,-0.08893855773118976,
BP,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-5.49046741038604,-0.45046741038603955,-0.08937845444167451,
