label,scale,method,ene,delta,reldelta,group
K,1.0,"PBE+MBD(rpa,scs)",-6.971347893760133,-6.0413478937601335,-6.496073004043154,
K,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-1.2932440029805257,-0.3632440029805256,-0.39058494944142536,
K,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-0.8919194739777325,0.038080526022267525,0.040946802174481205,
K,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-0.958212847528199,-0.02821284752819897,-0.030336395191611795,
K,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-0.9094525949327772,0.020547405067222857,0.02209398394325038,
K,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-0.9097413638971473,0.020258636102852723,0.021783479680486797,
K,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-0.9492063145715167,-0.01920631457151667,-0.02065195115216846,
K,1.0,PBE+MBD(scs),,,,
K,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",,,,
K,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-0.8919070117749753,0.038092988225024715,0.040960202392499694,
K,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-0.9600724674674187,-0.03007246746741865,-0.032335986524106075,
K,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-0.9101407118333881,0.019859288166611977,0.021354073297432233,
K,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-0.9104109657572134,0.019589034242786685,0.02106347768041579,
K,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-0.950851827057161,-0.020851827057160932,-0.022421319416302075,
K,1.0,PBE,-0.8812613006441292,0.04873869935587083,0.05240720360846325,
Li,1.0,"PBE+MBD(rpa,scs)",-3.0228345718615786,-1.3928345718615787,-0.8544997373383919,
Li,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-1.875909709169484,-0.24590970916948418,-0.1508648522512173,
Li,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-1.619333142923823,0.010666857076176983,0.006544084095814101,
Li,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-1.6209059824527647,0.009094017547235156,0.005579151869469421,
Li,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-1.6199340040716308,0.010065995928369098,0.006175457624766318,
Li,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-1.6199496882665825,0.010050311733417416,0.006165835419274489,
Li,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-1.6248229626531683,0.005177037346831614,0.003176096531798537,
Li,1.0,PBE+MBD(scs),,,,
Li,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",,,,
Li,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-1.6193345448617158,0.010665455138284097,0.0065432240112172375,
Li,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-1.6209575048815619,0.009042495118438021,0.005547543017446639,
Li,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-1.6199608775933256,0.010039122406674261,0.006158970801640651,
Li,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-1.6199774741031623,0.010022525896837609,0.006148788893765404,
Li,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-1.6249738791544819,0.005026120845518012,0.0030835097211766947,
Li,1.0,PBE,-1.6188750300496433,0.011124969950356611,0.006825134938869087,
LiCl,1.0,"PBE+MBD(rpa,scs)",,,,
LiCl,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-3.5307563456849493,0.019243654315050485,0.005420747694380419,
LiCl,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-3.4791291447767034,0.07087085522329639,0.019963621189660958,
LiCl,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-3.511918098717217,0.03808190128278266,0.010727296135995115,
LiCl,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-3.492161699830205,0.05783830016979463,0.01629247892106891,
LiCl,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.4954456426114646,0.0545543573885352,0.01536742461648879,
LiCl,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-3.506952578303593,0.04304742169640674,0.012126034280677956,
LiCl,1.0,PBE+MBD(scs),,,,
LiCl,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-3.5304661711077103,0.019533828892289495,0.005502487011912534,
LiCl,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-3.478520185020572,0.07147981497942801,0.020135159149134652,
LiCl,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-3.5120765724067673,0.03792342759323253,0.010682655660065501,
LiCl,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-3.4920695631273357,0.05793043687266408,0.016318432921877207,
LiCl,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.495242162137095,0.05475783786290478,0.015424743059973179,
LiCl,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-3.507259969007642,0.04274003099235779,0.012039445349959942,
LiCl,1.0,PBE,-3.3741837334015172,0.1758162665984826,0.049525708900981014,
LiF,1.0,"PBE+MBD(rpa,scs)",,,,
LiF,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-4.408271716170628,-0.008271716170627386,-0.0018799354933244057,
LiF,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-4.39182141455871,0.008178585441290132,0.0018587694184750297,
LiF,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-4.406417322016532,-0.006417322016531557,-0.0014584822764844446,
LiF,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-4.391207318733364,0.00879268126663657,0.001998336651508311,
LiF,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-4.3948431740432445,0.005156825956755817,0.0011720058992626856,
LiF,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-4.407223193080758,-0.007223193080757362,-0.0016416347910812184,
LiF,1.0,PBE+MBD(scs),,,,
LiF,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-4.408413254712598,-0.008413254712597684,-0.0019121033437722009,
LiF,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-4.391999638805007,0.008000361194993033,0.001818263907952962,
LiF,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-4.406774015790872,-0.006774015790871779,-0.0015395490433799497,
LiF,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-4.391350615190256,0.008649384809744198,0.001965769274941863,
LiF,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-4.395280295368023,0.004719704631977351,0.0010726601436312159,
LiF,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-4.407825143996797,-0.007825143996796236,-0.0017784418174536898,
LiF,1.0,PBE,-4.3250003196884315,0.0749996803115689,0.01704538188899293,
MgO,1.0,"PBE+MBD(rpa,scs)",-5.3348203795101155,-0.21482037951011534,-0.0419571053730694,
MgO,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-5.130229141230355,-0.010229141230355232,-0.0019978791465537563,
MgO,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-5.087875995956634,0.03212400404336613,0.006274219539719947,
MgO,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-5.107976815625272,0.012023184374728046,0.0023482781981890716,
MgO,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-5.095875257547131,0.02412474245286944,0.004711863760326063,
MgO,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-5.1005136834677804,0.01948631653221966,0.0038059211976991525,
MgO,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-5.122602028346805,-0.0026020283468044525,-0.0005082086614852446,
MgO,1.0,PBE+MBD(scs),,,,
MgO,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-5.130327232429718,-0.010327232429718336,-0.0020170375839293625,
MgO,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-5.087781370443089,0.032218629556910905,0.006292701085334161,
MgO,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-5.107326742313071,0.012673257686929063,0.0024752456419783325,
MgO,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-5.095274862138956,0.024725137861044466,0.004829128488485247,
MgO,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-5.100248791017292,0.01975120898270788,0.0038576580044351327,
MgO,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-5.121908521929439,-0.001908521929438578,-0.00037275818934347227,
MgO,1.0,PBE,-4.974469970818644,0.14553002918135594,0.02842383382448358,
MgS,1.0,"PBE+MBD(rpa,scs)",-4.070638693229224,-0.070638693229224,-0.017659673307306,
MgS,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-3.948749632345849,0.05125036765415114,0.012812591913537785,
MgS,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-3.8612381740848813,0.13876182591511865,0.03469045647877966,
MgS,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-3.893566455563629,0.1064335444363711,0.026608386109092774,
MgS,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-3.881659027391534,0.1183409726084661,0.029585243152116525,
MgS,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.8865927188110163,0.11340728118898369,0.028351820297245922,
MgS,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-3.906940656381373,0.09305934361862711,0.023264835904656778,
MgS,1.0,PBE+MBD(scs),-4.079658361979846,-0.07965836197984633,-0.01991459049496158,
MgS,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-3.951829300912078,0.04817069908792204,0.01204267477198051,
MgS,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-3.8603398767066843,0.13966012329331567,0.03491503082332892,
MgS,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-3.893816789311072,0.10618321068892822,0.026545802672232055,
MgS,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-3.8817662558607147,0.11823374413928533,0.029558436034821334,
MgS,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.8865663294034674,0.11343367059653264,0.02835841764913316,
MgS,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-3.9074037157886456,0.09259628421135435,0.023149071052838588,
MgS,1.0,PBE,-3.712749970761631,0.28725002923836884,0.07181250730959221,
Mo,1.0,"PBE+MBD(rpa,scs)",-7.790859607718745,-0.9708596077187446,-0.14235478119043174,
Mo,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-7.034310309158425,-0.21431030915842442,-0.03142379899683642,
Mo,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-6.4075607955246765,0.4124392044753238,0.060474956667936036,
Mo,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-6.61224388178878,0.2077561182112202,0.030462773931263957,
Mo,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-6.516239816887833,0.3037601831121677,0.0445396162921067,
Mo,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-6.5163437370217405,0.30365626297825976,0.04452437873581521,
Mo,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-6.676343377973998,0.14365662202600227,0.02106402082492702,
Mo,1.0,PBE+MBD(scs),,,,
Mo,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",,,,
Mo,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-6.408212082386521,0.4117879176134789,0.0603794600606274,
Mo,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-6.610894764676729,0.2091052353232712,0.030660591689629205,
Mo,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-6.51511544418537,0.30488455581463025,0.04470448032472584,
Mo,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-6.515218964822142,0.30478103517785815,0.044689301345726996,
Mo,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-6.674920314772425,0.14507968522757508,0.021272681118412767,
Mo,1.0,PBE,-6.332217759714114,0.48778224028588646,0.071522322622564,
Na,1.0,"PBE+MBD(rpa,scs)",-4.418067613194625,-3.3080676131946243,-2.9802410929681296,
Na,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-1.4241660175935957,-0.31416601759359564,-0.28303244828251856,
Na,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-1.1013652526016617,0.00863474739833836,0.007779051710214738,
Na,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-1.1227630092991505,-0.012763009299150418,-0.011498206575811187,
Na,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-1.1064100757156181,0.0035899242843819845,0.0032341660219657514,
Na,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-1.106455351873349,0.0035446481266510066,0.0031933766906765823,
Na,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-1.1262159552019062,-0.016215955201906107,-0.01460896865036586,
Na,1.0,PBE+MBD(scs),,,,
Na,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",,,,
Na,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-1.101357532478057,0.008642467521943198,0.007786006776525403,
Na,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-1.123265699422787,-0.01326569942278688,-0.011951080561069262,
Na,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-1.1065813859520226,0.0034186140479774973,0.003079832475655403,
Na,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-1.1066265808454328,0.0033734191545673475,0.0030391163554660786,
Na,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-1.126788115203253,-0.016788115203252962,-0.015124428111038703,
Na,1.0,PBE,-1.09800101099288,0.011998989007120153,0.010809900006414552,
NaCl,1.0,"PBE+MBD(rpa,scs)",-4.253002656761903,-0.923002656761903,-0.27717797500357444,
NaCl,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-3.243744787367017,0.08625521263298319,0.025902466256151106,
NaCl,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-3.1952860811589665,0.13471391884103356,0.04045463028259266,
NaCl,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-3.274545998904026,0.05545400109597409,0.016652853181974202,
NaCl,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-3.216881437524227,0.11311856247577312,0.03396953828101295,
NaCl,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.2193121160240215,0.11068788397597862,0.03323960479759117,
NaCl,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-3.242074167226294,0.08792583277370625,0.02640415398609797,
NaCl,1.0,PBE+MBD(scs),,,,
NaCl,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-3.2442159336356444,0.08578406636435565,0.02576098089019689,
NaCl,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-3.1947852187536276,0.13521478124637243,0.04060503941332505,
NaCl,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-3.275945217147391,0.05405478285260923,0.016232667523306075,
NaCl,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-3.21731177229818,0.11268822770181997,0.033840308619165156,
NaCl,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.219582303583612,0.1104176964163881,0.03315846739230874,
NaCl,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-3.2431389013437837,0.08686109865621638,0.02608441401087579,
NaCl,1.0,PBE,-3.1043838754365494,0.2256161245634507,0.0677525899589942,
NaF,1.0,"PBE+MBD(rpa,scs)",,,,
NaF,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-3.901199172278912,0.02880082772108805,0.007328454890862099,
NaF,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-3.880365250372626,0.04963474962737413,0.012629707284319117,
NaF,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-3.944352733819177,-0.014352733819176677,-0.0036520951193833784,
NaF,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-3.89171319035949,0.03828680964051001,0.009742190748221377,
NaF,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.894038182852785,0.035961817147215136,0.009150589604889348,
NaF,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-3.92035514108791,0.009644858912090104,0.002454162573050917,
NaF,1.0,PBE+MBD(scs),,,,
NaF,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-3.901710698049933,0.02828930195006718,0.007198295661594702,
NaF,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-3.8803588057592284,0.049641194240771735,0.01263134713505642,
NaF,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-3.94507240957374,-0.015072409573739787,-0.0038352187210533807,
NaF,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-3.8918652682909354,0.038134731709064784,0.00970349407355338,
NaF,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.89437170717296,0.03562829282703994,0.009065723365659018,
NaF,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-3.920944605819741,0.009055394180259135,0.002304171547139729,
NaF,1.0,PBE,-3.8235935430645034,0.10640645693549677,0.027075434334732,
Nb,1.0,"PBE+MBD(rpa,scs)",-8.427328052388171,-0.857328052388171,-0.11325337548060382,
Nb,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-7.651324373538806,-0.08132437353880562,-0.010742981973422142,
Nb,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-7.099276699812731,0.47072330018726927,0.062182734502941775,
Nb,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-7.255369063280703,0.314630936719297,0.04156287142923342,
Nb,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-7.185347986316689,0.38465201368331137,0.050812683445615764,
Nb,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-7.17283950213057,0.39716049786943053,0.05246505916372926,
Nb,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-7.334947512196449,0.23505248780355092,0.031050526790429446,
Nb,1.0,PBE+MBD(scs),,,,
Nb,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",,,,
Nb,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-7.099827187751455,0.47017281224854557,0.062110014828077355,
Nb,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-7.253874764125655,0.3161252358743454,0.04176026893980784,
Nb,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-7.184257526595175,0.38574247340482515,0.05095673360697822,
Nb,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-7.171800465356044,0.39819953464395663,0.052602316333415666,
Nb,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-7.333009294370567,0.23699070562943358,0.03130656613334658,
Nb,1.0,PBE,-7.034789742198553,0.535210257801447,0.07070148716003263,
NbC,1.0,"PBE+MBD(rpa,scs)",,,,
NbC,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-8.384737594528882,-0.12473759452888267,-0.015101403695990638,
NbC,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-8.135845581927846,0.12415441807215366,0.015030801219389064,
NbC,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-8.310806142766143,-0.05080614276614348,-0.0061508647416638595,
NbC,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-8.235600744064115,0.024399255935884767,0.002953905076983628,
NbC,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-8.221086055608719,0.03891394439128071,0.004711131282237374,
NbC,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-8.35298510160193,-0.09298510160193096,-0.011257276222994064,
NbC,1.0,PBE+MBD(scs),,,,
NbC,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",,,,
NbC,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-8.136267501271508,0.12373249872849179,0.014979721395701185,
NbC,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",,,,
NbC,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",,,,
NbC,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-8.230630504266422,0.029369495733577722,0.0035556290234355597,
NbC,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",,,,
NbC,1.0,PBE,-7.988320755665687,0.27167924433431256,0.03289094967727755,
NbN,1.0,"PBE+MBD(rpa,scs)",,,,
NbN,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-7.484985235422727,0.015014764577273354,0.002001968610303114,
NbN,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-7.26303360916466,0.23696639083533988,0.03159551877804532,
NbN,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-7.435820294209907,0.06417970579009324,0.008557294105345765,
NbN,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-7.357553877302583,0.1424461226974172,0.018992816359655624,
NbN,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-7.344688849488486,0.15531115051151367,0.020708153401535156,
NbN,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-7.464785204344131,0.03521479565586905,0.0046953060874492065,
NbN,1.0,PBE+MBD(scs),,,,
NbN,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",,,,
NbN,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-7.263873221033844,0.23612677896615608,0.03148357052882081,
NbN,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",,,,
NbN,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-7.384248183535028,0.11575181646497157,0.015433575528662875,
NbN,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-7.354267834294464,0.14573216570553615,0.01943095542740482,
NbN,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",,,,
NbN,1.0,PBE,-7.102755811090463,0.3972441889095366,0.05296589185460488,
Ni,1.0,"PBE+MBD(rpa,scs)",-6.2364811375539,-1.7964811375538998,-0.4046128688184459,
Ni,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-5.804556492695579,-1.3645564926955789,-0.3073325433999051,
Ni,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-5.4299112904294615,-0.9899112904294611,-0.2229529933399687,
Ni,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-5.574936820590285,-1.1349368205902843,-0.2556164010338478,
Ni,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-5.508986800056542,-1.0689868000565417,-0.24076279280552737,
Ni,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-5.5168358324897016,-1.0768358324897012,-0.24253059290308582,
Ni,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-5.595970608552128,-1.1559706085521277,-0.26035374066489364,
Ni,1.0,PBE+MBD(scs),,,,
Ni,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",,,,
Ni,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-5.4305237174686996,-0.9905237174686992,-0.2230909273578151,
Ni,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-5.573877354719226,-1.1338773547192256,-0.2553777825944202,
Ni,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-5.508195855509495,-1.0681958555094946,-0.24058465214177804,
Ni,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-5.516084032064247,-1.0760840320642462,-0.24236126848293832,
Ni,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-5.594820237251962,-1.154820237251962,-0.26009464802972115,
Ni,1.0,PBE,-5.35506017334138,-0.9150601733413799,-0.20609463363544592,
Pb,1.0,"PBE+MBD(rpa,scs)",-3.4253633844867504,-1.3953633844867506,-0.6873711253629314,
Pb,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-3.394640471996303,-1.364640471996303,-0.6722366857124646,
Pb,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-3.1210554354758577,-1.091055435475858,-0.5374657317615065,
Pb,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-3.2246820321359393,-1.1946820321359395,-0.588513316323123,
Pb,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-3.18892786545402,-1.1589278654540203,-0.5709004263320298,
Pb,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.160779620922205,-1.1307796209222052,-0.5570342960207908,
Pb,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-3.255892278758606,-1.2258922787586064,-0.6038878220485746,
Pb,1.0,PBE+MBD(scs),-3.4362682651194327,-1.406268265119433,-0.6927429877435631,
Pb,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",,,,
Pb,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-3.119892482762988,-1.0898924827629881,-0.5368928486517184,
Pb,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-3.224670318497241,-1.1946703184972414,-0.5885075460577545,
Pb,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-3.1889183927027913,-1.1589183927027915,-0.5708957599521141,
Pb,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.159177490672097,-1.129177490672097,-0.5562450692965996,
Pb,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-3.255885197776589,-1.2258851977765892,-0.6038843338800932,
Pb,1.0,PBE,-2.973890809965219,-0.943890809965219,-0.46497084234739855,
